"date","close","volume","open","high","low"
"2017/03/09","111.9300","2919791.0000","111.8700","112.3368","107.0500"
"2017/03/08","111.7500","2582175.0000","112.4800","112.6600","111.6500"
"2017/03/07","112.2800","2453977.0000","111.8600","112.4100","111.5000"
"2017/03/06","111.6600","3769463.0000","111.8300","112.3000","111.5400"
"2017/03/03","112.3400","3108308.0000","112.8300","113.4300","112.1700"
"2017/03/02","112.6900","2874020.0000","113.8300","114.0400","112.6300"
"2017/03/01","113.6800","5085486.0000","113.6400","114.4400","113.4610"
"2017/02/28","112.5500","2941680.0000","112.9700","113.1900","112.3375"
"2017/02/27","112.8100","2731285.0000","112.5900","112.9700","112.0300"
"2017/02/24","112.4600","2917947.0000","111.8200","112.6900","111.7500"
"2017/02/23","112.0900","3470811.0000","112.7000","112.8805","111.9700"
"2017/02/22","112.6600","2205614.0000","112.3500","112.7100","111.7200"
"2017/02/21","112.5000","2136895.0000","112.1900","112.8000","112.0400"
"2017/02/17","112.1500","2531704.0000","111.9300","112.3300","111.6100"
"2017/02/16","112.0700","2801760.0000","112.1400","112.3300","111.8100"
"2017/02/15","111.9100","2624996.0000","111.1300","112.0800","111.0600"
"2017/02/14","111.5700","2771931.0000","111.9900","112.3200","111.4500"
"2017/02/13","112.0200","2830941.0000","111.6100","112.1000","111.4200"
"2017/02/10","111.0500","2679214.0000","110.2500","111.2600","110.0800"
"2017/02/09","110.0900","2653958.0000","110.2800","110.7200","110.0000"
"2017/02/08","110.4000","2072853.0000","111.0900","111.0900","110.3510"
"2017/02/07","111.2500","2771662.0000","111.3800","111.7300","110.9650"
"2017/02/06","110.6800","4229522.0000","109.8100","111.2500","109.6750"
"2017/02/03","109.6500","3411607.0000","108.5300","109.7800","108.5000"
"2017/02/02","108.3600","4714506.0000","108.0800","108.6800","106.8500"
"2017/02/01","108.1800","4670018.0000","109.6300","109.9050","107.9000"
"2017/01/31","109.6700","3945675.0000","109.0400","109.8100","108.3900"
"2017/01/30","109.1700","2909699.0000","109.3100","109.6000","108.2500"
"2017/01/27","109.7000","2829980.0000","110.1500","110.9000","109.6100"
"2017/01/26","110.3600","3996150.0000","110.8000","111.4900","109.5300"
"2017/01/25","110.9600","5052531.0000","111.8700","112.5100","108.7800"
"2017/01/24","111.6100","3239327.0000","110.6800","111.6900","110.3400"
"2017/01/23","110.3400","2296594.0000","110.8400","111.3000","109.9800"
"2017/01/20","110.7900","3130956.0000","110.9500","111.1000","110.0300"
"2017/01/19","110.7300","2828232.0000","111.0300","111.6000","110.0200"
"2017/01/18","110.4200","2600282.0000","110.2000","110.8900","109.8200"
"2017/01/17","109.9700","2240143.0000","109.7800","110.2700","109.4000"
"2017/01/13","110.2200","2880616.0000","110.9300","111.2600","109.8500"
"2017/01/12","110.8200","2644680.0000","111.1400","111.1400","109.7050"
"2017/01/11","111.0000","2746199.0000","111.6200","111.6200","110.5800"
"2017/01/10","111.2600","1800521.0000","111.7500","111.8300","111.0600"
"2017/01/09","111.5000","2434167.0000","112.7000","112.7000","111.2706"
"2017/01/06","112.5500","2622239.0000","111.4200","112.8300","111.0600"
"2017/01/05","111.3500","3064493.0000","111.1700","111.9400","110.5600"
"2017/01/04","110.9000","3091375.0000","111.4600","111.6980","110.5800"
"2017/01/03","110.8300","2739502.0000","110.3900","110.9600","110.0000"
"2016/12/30","109.6200","2200538.0000","110.5900","110.7900","109.3800"
"2016/12/29","110.5500","2903926.0000","110.2800","110.8200","110.0300"
"2016/12/28","110.1900","1864770.0000","111.0000","111.0900","110.1000"
"2016/12/27","110.9800","1067262.0000","111.0400","111.1300","110.5000"
"2016/12/23","110.6500","1303350.0000","110.3500","110.8300","110.0400"
"2016/12/22","110.4600","2087903.0000","110.5800","110.7600","109.6900"
"2016/12/21","110.4900","2078706.0000","110.9400","111.1300","110.4700"
"2016/12/20","110.6500","2255958.0000","110.9300","111.0000","110.1500"
"2016/12/19","110.8200","3838271.0000","109.5700","111.0699","108.8800"
"2016/12/16","108.5200","7986205.0000","108.4100","109.2600","108.0900"
"2016/12/15","108.1300","3610879.0000","109.0400","109.4300","108.1200"
"2016/12/14","109.2700","2761180.0000","110.3500","110.4400","109.0900"
"2016/12/13","110.3100","3752086.0000","110.8800","111.6864","110.2600"
"2016/12/12","110.3900","4477599.0000","109.4200","110.5000","108.7900"
"2016/12/09","109.7900","3428390.0000","108.5400","109.9900","108.0600"
"2016/12/08","108.4300","3168535.0000","109.6700","109.6800","108.1400"
"2016/12/07","109.6800","4261682.0000","107.5000","109.8400","107.0800"
"2016/12/06","107.4300","2179437.0000","107.3000","107.7000","107.0800"
"2016/12/05","107.4200","3075659.0000","108.7200","108.8000","107.3600"
"2016/12/02","108.2200","3124227.0000","108.0400","108.5700","107.4800"
"2016/12/01","107.4800","4055589.0000","108.0000","108.1700","107.0700"
"2016/11/30","107.7200","4111694.0000","109.0300","110.0000","107.7200"
"2016/11/29","108.8400","3133853.0000","108.6700","109.4400","108.6500"
